Niveau,Incident,Description,T0,T1,T2,MTTD_sec,MTTR_sec,Detected
0,1,"Mass HTTP 500",10:45:22.721,10:45:23.428,10:45:23.428,0.706,0.706,True
0,2,"High Latency",10:45:33.591,10:45:33.933,10:48:34.704,0.342,181.112,True
0,3,"Disk Full",10:48:44.760,10:48:56.999,10:48:57.612,12.239,12.852,True
1,1,"Mass HTTP 500",11:01:21.045,11:01:21.685,11:01:21.686,0.641,0.642,True
1,2,"High Latency",11:01:31.693,11:01:31.880,11:04:32.638,0.187,180.945,True
1,3,"Disk Full",11:04:42.663,11:04:50.141,11:04:50.672,7.478,8.01,True
2,1,"Mass HTTP 500",11:19:26.533,11:19:27.854,11:19:27.858,1.321,1.325,True
2,2,"High Latency",11:19:37.904,11:19:38.363,11:22:40.112,0.46,182.208,True
2,3,"Disk Full",11:22:50.138,11:22:57.298,11:22:58.323,7.16,8.185,True
3,1,"Mass HTTP 500",11:36:50.179,11:36:50.921,11:36:50.925,0.741,0.745,True
3,2,"High Latency",11:37:00.969,11:37:01.270,11:40:02.424,0.301,181.455,True
3,3,"Disk Full",11:40:12.466,11:40:17.833,11:40:18.446,5.367,5.979,True
