Niveau,Incident,Description,T0,T1,T2,MTTD_sec,MTTR_sec,Detected
0,1,"DB Down",10:35:08.541,10:35:13.500,10:38:16.350,4.958,187.809,True
0,2,"CPU Overload",10:38:26.561,10:38:41.679,10:38:47.306,15.118,20.745,True
0,3,"Memory Limit",10:38:57.486,10:45:12.689,10:45:12.684,N/A,N/A,False
0,4,"Mass HTTP 500",10:45:22.721,10:45:23.428,10:45:23.428,0.706,0.706,True
0,5,"High Latency",10:45:33.591,10:45:33.933,10:48:34.704,0.342,181.112,True
0,6,"Disk Full",10:48:44.760,10:48:56.999,10:48:57.612,12.239,12.852,True
1,1,"DB Down",10:53:24.594,10:53:29.909,10:56:34.823,5.315,190.229,True
1,2,"CPU Overload",10:56:44.876,10:56:56.178,10:57:03.104,11.302,18.228,True
1,3,"Memory Limit",10:57:13.149,10:58:07.005,11:01:11.031,53.855,237.882,True
1,4,"Mass HTTP 500",11:01:21.045,11:01:21.685,11:01:21.686,0.641,0.642,True
1,5,"High Latency",11:01:31.693,11:01:31.880,11:04:32.638,0.187,180.945,True
1,6,"Disk Full",11:04:42.663,11:04:50.141,11:04:50.672,7.478,8.01,True
2,1,"DB Down",11:09:12.161,11:09:16.447,11:12:19.124,4.286,186.963,True
2,2,"CPU Overload",11:12:29.151,11:12:42.265,11:12:47.559,13.113,18.408,True
2,3,"Memory Limit",11:12:57.584,11:19:16.303,11:19:16.290,N/A,N/A,False
2,4,"Mass HTTP 500",11:19:26.533,11:19:27.854,11:19:27.858,1.321,1.325,True
2,5,"High Latency",11:19:37.904,11:19:38.363,11:22:40.112,0.46,182.208,True
2,6,"Disk Full",11:22:50.138,11:22:57.298,11:22:58.323,7.16,8.185,True
3,1,"DB Down",11:27:35.964,11:27:45.505,11:30:52.232,9.541,196.268,True
3,2,"CPU Overload",11:31:02.263,11:31:21.007,11:31:27.708,18.744,25.445,True
3,3,"Memory Limit",11:31:37.742,11:33:35.461,11:36:40.124,117.719,302.382,True
3,4,"Mass HTTP 500",11:36:50.179,11:36:50.921,11:36:50.925,0.741,0.745,True
3,5,"High Latency",11:37:00.969,11:37:01.270,11:40:02.424,0.301,181.455,True
3,6,"Disk Full",11:40:12.466,11:40:17.833,11:40:18.446,5.367,5.979,True
